ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
486,Dubai Silicon Oasis,1 BR,1,752,44,Mid-Rise,Furnished,City View,Good,1,850000,1130,59000,13898,2023-02-03,90
487,Dubai Creek Harbour,3 BR,2,1997,49,Mid-Rise,Unfurnished,Park View,Good,2,3580000,1793,284000,41729,2024-11-30,37
488,Damac Hills,2 BR,2,1432,32,Serviced Apartment,Unfurnished,Garden View,Excellent,2,1962000,1370,124000,30326,2022-08-26,36
489,Dubai Hills Estate,2 BR,2,1245,36,Serviced Apartment,Furnished,Pool View,Good,2,2476000,1989,171000,19299,2024-08-15,34
490,Al Quoz,2 BR,2,1029,48,Low-Rise,Unfurnished,Garden View,Excellent,2,815000,792,51000,23309,2022-08-09,137
491,Business Bay,2 BR,2,1253,31,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,0,2981000,2379,228000,30018,2022-07-16,15
492,Al Jaddaf,2 BR,2,1217,41,Serviced Apartment,Furnished,Canal View,New,2,2157000,1772,126000,15965,2022-01-04,16
493,Damac Hills,1 BR,1,725,6,Low-Rise,Unfurnished,Sea View,New,1,1165000,1607,93000,11207,2022-10-15,159
494,Mirdif,2 BR,2,1413,18,Mid-Rise,Semi-Furnished,City View,Average,1,1178000,834,78000,24800,2025-04-15,106
495,Al Jaddaf,2 BR,2,1034,4,Villa Compound,Semi-Furnished,Garden View,Good,2,1085000,1049,71000,22177,2022-12-08,61
496,Business Bay,Studio,1,554,30,Serviced Apartment,Unfurnished,Garden View,Average,1,1017000,1836,59000,10538,2023-10-29,107
497,Palm Jumeirah,3 BR,2,2140,12,Villa Compound,Unfurnished,Street View,Average,2,5475000,2558,353000,52071,2022-01-15,1
498,Dubai South,3 BR,2,2014,18,High-Rise,Furnished,Park View,New,0,1897000,942,135000,38093,2025-03-28,98
499,Jumeirah Village Circle (JVC),2 BR,2,1379,55,Serviced Apartment,Furnished,Canal View,Excellent,2,2257000,1637,168000,31241,2022-12-03,135
500,International City,2 BR,2,1008,31,High-Rise,Furnished,City View,Average,2,682000,677,56000,21202,2022-05-03,101
501,Bur Dubai,2 BR,2,997,46,High-Rise,Unfurnished,Street View,New,0,895000,898,66000,15994,2022-01-20,46
502,Al Quoz,2 BR,2,1144,27,Mid-Rise,Semi-Furnished,Pool View,Good,2,828000,724,52000,19839,2023-05-28,23
503,Remraam,3 BR,3,1677,49,Villa Compound,Furnished,City View,Good,2,1712000,1021,114000,29582,2022-10-25,11
504,DIFC,4 BR,3,2269,48,Villa Compound,Semi-Furnished,Pool View,Average,1,6429000,2833,527000,42324,2025-02-20,133
505,Dubailand,3 BR,2,2191,34,Low-Rise,Furnished,Park View,New,1,2594000,1184,206000,37516,2024-12-24,78
506,Mirdif,2 BR,2,1208,4,Mid-Rise,Furnished,Garden View,New,2,1181000,978,77000,15638,2024-11-26,107
507,Al Quoz,1 BR,1,797,56,Mid-Rise,Semi-Furnished,Burj Khalifa View,Excellent,2,829000,1040,52000,12044,2023-12-10,40
508,Jumeirah Beach Residence (JBR),Studio,1,544,38,Serviced Apartment,Semi-Furnished,Street View,Average,2,1320000,2426,74000,10932,2022-05-17,33
509,Oud Metha,1 BR,1,618,50,Serviced Apartment,Furnished,Pool View,Good,2,758000,1227,44000,10327,2023-04-01,102
510,Jumeirah Lakes Towers (JLT),3 BR,3,1411,17,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,1,2145000,1520,131000,28671,2022-08-03,10
511,DIFC,Studio,1,583,58,Serviced Apartment,Semi-Furnished,Park View,New,2,1972000,3383,150000,10352,2023-04-17,133
512,Bur Dubai,1 BR,1,742,9,Low-Rise,Unfurnished,Pool View,Good,2,549000,740,41000,12708,2022-09-07,10
513,Mirdif,2 BR,2,1317,9,Mid-Rise,Semi-Furnished,Pool View,Excellent,2,1132000,860,78000,16295,2025-01-04,93
514,Business Bay,3 BR,3,1484,41,High-Rise,Furnished,City View,Excellent,1,3856000,2598,289000,29737,2022-12-08,61
515,Dubai Hills Estate,1 BR,1,914,36,Low-Rise,Unfurnished,Canal View,Excellent,0,2051000,2244,130000,12311,2024-09-25,45
516,International City,2 BR,2,1443,20,Mid-Rise,Semi-Furnished,Burj Khalifa View,Good,1,959000,665,70000,24456,2023-12-18,55
517,Dubai Creek Harbour,2 BR,2,1002,20,Mid-Rise,Furnished,Street View,Excellent,1,1969000,1965,136000,24837,2023-03-14,131
518,Dubai Silicon Oasis,1 BR,1,823,21,Mid-Rise,Unfurnished,Sea View,Average,0,837000,1017,49000,11389,2024-11-02,107
519,Al Jaddaf,5+ BR,4,4790,31,Low-Rise,Furnished,Canal View,Good,1,7733000,1614,521000,94234,2024-06-13,114
520,Mirdif,4 BR,3,3120,34,Serviced Apartment,Furnished,City View,Average,2,2999000,961,171000,71229,2024-04-01,125
521,Jumeirah Village Circle (JVC),3 BR,3,1516,6,Serviced Apartment,Semi-Furnished,Sea View,Average,0,1773000,1170,130000,21836,2023-07-27,137
522,Al Barsha,4 BR,4,3286,14,Low-Rise,Semi-Furnished,Sea View,New,1,4292000,1306,277000,79572,2025-02-23,96
523,Downtown Dubai,5+ BR,5,5987,47,Low-Rise,Furnished,Street View,Average,1,16814000,2808,1094000,118005,2022-06-19,125
524,Al Nahda,2 BR,2,974,42,Serviced Apartment,Semi-Furnished,Canal View,Average,2,939000,964,59000,22509,2022-06-02,43
525,Al Quoz,5+ BR,5,5730,37,High-Rise,Unfurnished,Sea View,Excellent,1,5575000,973,369000,99826,2024-03-12,141
526,Bur Dubai,4 BR,3,2649,40,High-Rise,Semi-Furnished,Burj Khalifa View,Good,1,2782000,1050,222000,41770,2025-04-19,156
527,Dubai Creek Harbour,4 BR,4,3335,29,Mid-Rise,Furnished,Sea View,Good,1,7605000,2280,635000,46788,2022-05-23,148
528,International City,5+ BR,6,5861,32,Serviced Apartment,Unfurnished,Pool View,Good,2,3449000,588,283000,96713,2025-03-03,81
529,Remraam,Studio,1,629,47,Low-Rise,Furnished,Sea View,Good,0,696000,1107,52000,8375,2023-10-06,147
530,Jumeirah Lakes Towers (JLT),5+ BR,5,4791,19,Serviced Apartment,Unfurnished,Street View,Excellent,0,6715000,1402,539000,106067,2024-07-07,3
531,Al Quoz,3 BR,3,1406,39,Low-Rise,Furnished,Burj Khalifa View,New,1,1626000,1156,113000,33686,2022-01-02,17
532,Dubai Creek Harbour,4 BR,4,2612,22,High-Rise,Furnished,Canal View,New,1,6687000,2560,495000,52630,2024-02-22,126
533,Dubai Hills Estate,2 BR,2,1426,38,High-Rise,Unfurnished,Canal View,Good,1,3049000,2138,246000,25332,2022-05-06,100
534,Oud Metha,5+ BR,5,3046,41,Serviced Apartment,Unfurnished,Street View,Excellent,0,3419000,1122,242000,75612,2023-06-06,12
535,Dubai Hills Estate,3 BR,3,1589,59,High-Rise,Unfurnished,Pool View,Excellent,0,2810000,1768,172000,19984,2024-11-27,71
536,Al Jaddaf,4 BR,4,2099,15,Low-Rise,Unfurnished,Park View,New,0,2635000,1255,150000,35479,2024-01-07,68
537,DIFC,4 BR,3,2462,13,Serviced Apartment,Semi-Furnished,Park View,Average,0,5338000,2168,374000,57892,2024-02-09,65
538,Remraam,1 BR,1,725,20,Low-Rise,Semi-Furnished,Burj Khalifa View,New,0,743000,1025,51000,16782,2024-10-21,28
539,International City,1 BR,1,822,25,Low-Rise,Semi-Furnished,Street View,New,0,523000,636,33000,14505,2025-02-10,5
540,Remraam,4 BR,3,2278,32,High-Rise,Furnished,Burj Khalifa View,New,2,2780000,1220,155000,40610,2023-06-28,74
541,DIFC,Studio,1,522,14,High-Rise,Furnished,Burj Khalifa View,Excellent,1,1755000,3362,142000,10902,2022-07-25,45
542,Deira,1 BR,1,746,9,Villa Compound,Semi-Furnished,Sea View,Excellent,1,760000,1019,48000,13761,2023-09-29,23
543,Al Jaddaf,1 BR,1,666,33,Mid-Rise,Furnished,Garden View,Good,1,894000,1342,59000,14806,2024-09-10,125
544,Jumeirah Lakes Towers (JLT),Studio,1,447,57,Serviced Apartment,Unfurnished,Garden View,Excellent,2,689000,1541,54000,8022,2024-07-07,129
545,Downtown Dubai,2 BR,2,1492,7,Mid-Rise,Semi-Furnished,Burj Khalifa View,Good,2,3862000,2588,260000,28208,2023-05-13,162
546,Mirdif,4 BR,3,2439,29,Serviced Apartment,Semi-Furnished,Garden View,Excellent,1,2343000,961,199000,40424,2025-05-17,58
547,Bur Dubai,1 BR,1,914,44,Serviced Apartment,Semi-Furnished,Canal View,Excellent,0,1071000,1172,90000,19797,2024-03-23,71
548,Oud Metha,3 BR,3,1488,30,High-Rise,Unfurnished,Pool View,Average,2,1427000,959,96000,26215,2024-02-07,96
549,Business Bay,3 BR,2,1621,23,High-Rise,Furnished,Pool View,Good,0,3535000,2181,206000,34225,2024-12-04,139
550,Deira,1 BR,1,911,50,High-Rise,Unfurnished,Pool View,Average,0,673000,739,46000,14623,2025-03-06,121
551,Mirdif,1 BR,1,779,51,High-Rise,Semi-Furnished,Pool View,Excellent,2,821000,1054,64000,17783,2024-07-16,51
552,Dubai Creek Harbour,1 BR,1,614,47,High-Rise,Unfurnished,Sea View,New,2,1469000,2393,99000,12083,2024-09-08,115
553,Dubai Silicon Oasis,2 BR,2,1479,54,Serviced Apartment,Semi-Furnished,Pool View,Excellent,0,1604000,1085,93000,19309,2022-07-24,108
554,Downtown Dubai,4 BR,4,2029,24,High-Rise,Semi-Furnished,Sea View,New,0,7442000,3668,420000,28863,2023-06-21,31
555,Deira,4 BR,4,3135,29,Serviced Apartment,Unfurnished,Canal View,Average,0,2561000,817,203000,66983,2025-04-05,16
556,Dubailand,3 BR,2,1613,44,Serviced Apartment,Semi-Furnished,Canal View,Good,1,1822000,1130,113000,29187,2025-01-21,86
557,Dubailand,1 BR,1,669,1,Mid-Rise,Semi-Furnished,Burj Khalifa View,Excellent,2,621000,928,38000,16723,2023-01-30,3
558,Dubailand,2 BR,2,1306,54,Villa Compound,Unfurnished,City View,New,2,1559000,1194,132000,20358,2024-10-26,156
559,Arjan,2 BR,2,1476,44,Serviced Apartment,Unfurnished,Garden View,Good,0,1594000,1080,101000,21072,2025-01-30,139
560,Dubailand,5+ BR,4,3298,59,High-Rise,Semi-Furnished,Park View,Average,0,2669000,809,201000,77944,2023-05-11,174
561,Dubai Hills Estate,5+ BR,5,5813,12,Low-Rise,Semi-Furnished,Sea View,Good,1,11081000,1906,830000,111654,2024-06-11,118
562,Jumeirah Village Circle (JVC),4 BR,4,3268,15,Villa Compound,Unfurnished,Garden View,Average,1,3515000,1076,262000,65508,2024-07-07,44
563,Jumeirah Lakes Towers (JLT),3 BR,3,1538,36,Villa Compound,Semi-Furnished,Sea View,Good,0,2917000,1897,216000,26101,2023-12-19,140
564,Deira,Studio,1,465,44,Low-Rise,Furnished,Sea View,New,1,561000,1206,38000,5814,2023-08-21,24
565,Dubai Silicon Oasis,2 BR,2,1413,23,Villa Compound,Furnished,Street View,Average,1,1349000,955,95000,26937,2022-12-17,119
566,Al Quoz,5+ BR,5,5555,23,High-Rise,Unfurnished,Street View,Good,0,3982000,717,249000,125781,2024-03-24,9
567,Arjan,5+ BR,6,5368,15,Serviced Apartment,Unfurnished,City View,Excellent,0,6212000,1157,364000,86647,2025-02-21,136
568,DIFC,1 BR,1,927,33,Low-Rise,Furnished,Sea View,Good,0,3436000,3707,279000,13251,2023-07-31,36
569,Al Quoz,4 BR,3,2864,10,Serviced Apartment,Unfurnished,Park View,Average,1,1886000,659,117000,59582,2023-12-15,4
570,Jumeirah Beach Residence (JBR),Studio,1,387,34,Mid-Rise,Unfurnished,Garden View,Average,2,740000,1912,61000,5865,2022-06-21,131
571,Dubai Hills Estate,3 BR,3,2094,58,Serviced Apartment,Furnished,Burj Khalifa View,New,2,5576000,2663,402000,39909,2024-08-20,54
572,Palm Jumeirah,5+ BR,5,4696,54,Villa Compound,Furnished,Garden View,Excellent,2,18795000,4002,1045000,99272,2024-08-04,174
573,Arjan,1 BR,1,871,38,High-Rise,Unfurnished,Street View,Average,2,814000,935,65000,21648,2023-08-17,83
574,Oud Metha,4 BR,3,2413,56,Villa Compound,Furnished,Canal View,New,0,3449000,1429,242000,43618,2025-03-15,59
575,Arjan,Studio,1,497,2,Serviced Apartment,Semi-Furnished,Pool View,Average,2,442000,889,26000,11931,2024-03-28,159
576,International City,2 BR,2,1340,19,Low-Rise,Unfurnished,Canal View,Good,1,864000,645,50000,31143,2022-02-07,55
577,Business Bay,3 BR,3,2077,41,Mid-Rise,Furnished,Pool View,Average,0,3755000,1808,230000,35774,2022-05-29,123
578,Jumeirah Beach Residence (JBR),4 BR,4,3410,54,Serviced Apartment,Furnished,Street View,Excellent,1,9047000,2653,574000,85206,2024-06-08,46
579,Dubai Hills Estate,3 BR,2,1996,49,Mid-Rise,Furnished,Burj Khalifa View,Good,1,4136000,2072,344000,39303,2024-01-10,36
580,Mirdif,Studio,1,451,47,Villa Compound,Semi-Furnished,Park View,Excellent,2,427000,947,32000,5994,2023-09-22,156
581,Al Nahda,Studio,1,380,6,Villa Compound,Furnished,Canal View,New,2,428000,1126,35000,6641,2025-04-27,125
582,Dubai Creek Harbour,2 BR,2,963,8,Villa Compound,Semi-Furnished,Canal View,Excellent,1,1953000,2028,117000,17676,2024-06-23,37
583,Al Jaddaf,4 BR,3,3247,31,Low-Rise,Furnished,Burj Khalifa View,Excellent,2,4623000,1424,359000,73769,2024-08-25,33
584,Al Quoz,4 BR,3,2050,23,Low-Rise,Unfurnished,Street View,New,0,1695000,827,115000,32381,2025-02-22,162
585,Palm Jumeirah,3 BR,3,1634,4,Serviced Apartment,Semi-Furnished,City View,New,1,5402000,3306,376000,40198,2025-05-05,15
586,Business Bay,5+ BR,4,3438,11,Serviced Apartment,Semi-Furnished,Street View,New,0,6916000,2012,577000,69148,2024-06-15,159
587,Mirdif,2 BR,2,1121,19,High-Rise,Semi-Furnished,Street View,Average,0,974000,869,58000,21699,2025-05-02,27
588,Damac Hills,1 BR,1,936,48,Mid-Rise,Semi-Furnished,Canal View,Excellent,1,1589000,1698,107000,12515,2023-09-17,133
589,Jumeirah Beach Residence (JBR),1 BR,1,703,50,Mid-Rise,Furnished,Pool View,Excellent,2,1968000,2799,145000,11328,2024-12-23,14
590,Dubai Hills Estate,2 BR,2,1291,45,Mid-Rise,Furnished,Canal View,Average,0,2641000,2046,159000,26652,2022-05-19,41
591,Palm Jumeirah,5+ BR,4,4101,44,High-Rise,Unfurnished,Burj Khalifa View,Excellent,1,17119000,4174,1307000,62276,2022-10-30,124
592,Damac Hills,Studio,1,430,36,Villa Compound,Unfurnished,Garden View,New,0,621000,1444,52000,10740,2022-02-28,136
593,Al Jaddaf,5+ BR,5,3508,35,High-Rise,Semi-Furnished,Park View,Excellent,0,4309000,1228,300000,42892,2022-07-01,107
594,Business Bay,1 BR,1,678,50,Serviced Apartment,Unfurnished,Pool View,Excellent,1,1382000,2038,98000,12540,2024-06-28,83
595,Al Quoz,3 BR,3,1601,59,Mid-Rise,Semi-Furnished,City View,Good,1,1479000,924,106000,26765,2022-04-08,71
596,Dubai Silicon Oasis,Studio,1,639,4,Serviced Apartment,Semi-Furnished,Garden View,Good,1,538000,842,46000,15003,2025-04-06,125
597,Dubailand,Studio,1,471,15,High-Rise,Furnished,Sea View,Good,1,460000,977,27000,11265,2024-04-11,121
598,Dubailand,4 BR,3,2818,4,Low-Rise,Unfurnished,Burj Khalifa View,Good,0,2521000,895,162000,70240,2022-03-04,16
599,Al Jaddaf,3 BR,2,1756,24,High-Rise,Unfurnished,Pool View,Average,1,1763000,1004,136000,39784,2023-09-14,138
600,Dubai Hills Estate,5+ BR,4,3685,60,Low-Rise,Unfurnished,Street View,Excellent,2,7075000,1920,596000,88117,2024-12-17,142
601,Remraam,1 BR,1,781,35,Serviced Apartment,Unfurnished,Garden View,New,2,704000,901,53000,17622,2024-05-30,73
602,Al Jaddaf,2 BR,2,982,52,Villa Compound,Furnished,Garden View,Average,1,1098000,1118,87000,22826,2023-02-27,31
603,Dubai Silicon Oasis,1 BR,1,777,50,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,2,1026000,1320,61000,15546,2022-07-29,146
604,Downtown Dubai,1 BR,1,682,3,Low-Rise,Unfurnished,Sea View,Average,0,1602000,2349,100000,16676,2023-10-23,137
605,Remraam,Studio,1,386,4,Mid-Rise,Semi-Furnished,Sea View,Excellent,0,352000,912,25000,8323,2023-12-21,103
606,Dubai Hills Estate,Studio,1,495,51,Low-Rise,Unfurnished,Pool View,Good,1,827000,1671,63000,8032,2024-03-17,53
607,Jumeirah Beach Residence (JBR),5+ BR,4,5166,59,Mid-Rise,Unfurnished,Street View,New,0,13203000,2556,727000,63476,2024-05-01,149
608,Al Barsha,5+ BR,6,3927,19,Mid-Rise,Unfurnished,Street View,Excellent,2,4352000,1108,257000,83778,2023-09-04,5
609,DIFC,4 BR,4,3324,29,Villa Compound,Semi-Furnished,Burj Khalifa View,Good,0,10081000,3033,695000,78492,2022-03-29,69
610,Dubailand,2 BR,2,1394,33,High-Rise,Furnished,City View,Good,1,1292000,927,88000,20904,2022-07-13,113
611,Al Nahda,4 BR,3,3018,22,Serviced Apartment,Furnished,Park View,Average,2,2363000,783,196000,41264,2024-01-17,59
612,Damac Hills,2 BR,2,1401,10,Low-Rise,Semi-Furnished,Pool View,Good,0,1716000,1225,130000,17139,2024-04-30,34
613,Dubai Creek Harbour,5+ BR,4,3955,32,Serviced Apartment,Semi-Furnished,Garden View,Excellent,0,7030000,1777,517000,48342,2023-10-14,26
614,Downtown Dubai,4 BR,3,2220,31,Villa Compound,Furnished,Burj Khalifa View,Good,2,6767000,3048,544000,46201,2025-02-22,58
615,Al Quoz,3 BR,2,1951,16,Low-Rise,Unfurnished,Canal View,Average,1,1448000,742,107000,42344,2024-12-10,30
616,Al Quoz,2 BR,2,953,29,Villa Compound,Semi-Furnished,Canal View,Average,1,772000,810,61000,23724,2024-09-07,19
617,Damac Hills,3 BR,3,1881,24,Serviced Apartment,Furnished,Garden View,Excellent,2,2664000,1416,215000,41624,2024-02-26,9
618,Dubai Hills Estate,5+ BR,6,3236,52,Low-Rise,Unfurnished,Pool View,Average,2,5024000,1553,315000,79966,2024-08-25,162
619,Arjan,2 BR,2,1276,58,High-Rise,Semi-Furnished,Garden View,Average,0,1146000,898,66000,31887,2024-08-16,63
620,Al Nahda,4 BR,4,3121,34,Villa Compound,Semi-Furnished,Canal View,Average,0,2956000,947,222000,77352,2024-03-14,53
621,Dubai Hills Estate,4 BR,4,2799,38,High-Rise,Unfurnished,Sea View,Good,2,5669000,2025,371000,65323,2023-06-10,132
622,Mirdif,2 BR,2,1154,46,Mid-Rise,Unfurnished,Pool View,Good,2,1057000,916,63000,25782,2024-07-09,17
623,Palm Jumeirah,5+ BR,6,3629,45,Mid-Rise,Semi-Furnished,Sea View,Good,0,15222000,4195,927000,69149,2024-11-18,2
624,Remraam,3 BR,3,1420,60,Villa Compound,Furnished,Burj Khalifa View,Good,1,1444000,1017,100000,18721,2024-01-07,120
625,DIFC,3 BR,2,1416,4,High-Rise,Furnished,Street View,Excellent,2,4037000,2851,227000,17037,2022-04-12,82
626,Dubai Creek Harbour,Studio,1,384,60,Mid-Rise,Furnished,Park View,New,1,809000,2107,48000,8784,2023-11-12,168
627,Al Nahda,2 BR,2,1424,33,Low-Rise,Unfurnished,City View,Average,1,1323000,929,86000,32769,2024-03-10,3
628,Bur Dubai,Studio,1,468,53,Serviced Apartment,Semi-Furnished,Street View,New,2,523000,1118,30000,11267,2022-12-11,66
629,Dubai Silicon Oasis,2 BR,2,1442,48,Low-Rise,Semi-Furnished,Pool View,Average,1,1486000,1031,122000,21784,2025-05-07,8
630,Deira,5+ BR,5,3782,11,Mid-Rise,Unfurnished,Burj Khalifa View,Good,1,3239000,856,259000,61002,2025-03-06,51
631,Deira,Studio,1,631,13,High-Rise,Unfurnished,Street View,Good,2,440000,697,29000,10554,2024-11-27,107
632,Al Barsha,2 BR,2,1420,31,Low-Rise,Semi-Furnished,Burj Khalifa View,Excellent,2,1951000,1374,154000,25481,2023-04-09,20
633,Deira,1 BR,1,830,17,High-Rise,Unfurnished,City View,Good,1,685000,825,52000,15968,2023-06-12,40
634,Arjan,5+ BR,6,5097,36,High-Rise,Semi-Furnished,City View,Excellent,2,6236000,1223,516000,113223,2023-07-25,105
635,Deira,Studio,1,543,35,Low-Rise,Furnished,Pool View,Excellent,2,488000,899,28000,12009,2024-09-29,79
636,Remraam,5+ BR,6,4362,55,Low-Rise,Semi-Furnished,City View,Excellent,1,4203000,964,340000,75602,2022-12-25,66
637,Business Bay,5+ BR,4,3051,21,High-Rise,Unfurnished,Garden View,Excellent,1,5832000,1912,427000,65874,2022-12-14,166
638,International City,2 BR,2,1090,40,Mid-Rise,Semi-Furnished,Sea View,Excellent,0,717000,658,56000,15390,2024-06-05,23
639,Dubailand,2 BR,2,1149,31,Mid-Rise,Semi-Furnished,Canal View,Good,0,1274000,1109,71000,21614,2022-12-14,178
640,International City,1 BR,1,656,6,High-Rise,Furnished,Garden View,Good,0,359000,547,30000,14624,2025-03-20,88
641,Dubai Creek Harbour,2 BR,2,1183,12,Mid-Rise,Unfurnished,Burj Khalifa View,New,0,2471000,2089,199000,24679,2024-03-14,119
642,Downtown Dubai,2 BR,2,1087,31,Serviced Apartment,Semi-Furnished,Park View,Good,1,2749000,2529,170000,18017,2023-10-23,171
643,Remraam,3 BR,2,1419,58,Villa Compound,Furnished,Park View,Good,0,1188000,837,74000,28511,2022-07-29,95
644,International City,Studio,1,613,42,High-Rise,Unfurnished,Burj Khalifa View,Excellent,0,431000,703,35000,14346,2023-10-16,101
645,Al Barsha,5+ BR,4,5741,12,Mid-Rise,Unfurnished,Sea View,Average,0,5339000,930,326000,73828,2023-01-17,138
646,Dubai Creek Harbour,1 BR,1,766,30,Villa Compound,Semi-Furnished,Street View,Average,0,1275000,1664,95000,12643,2022-09-14,147
647,Jumeirah Lakes Towers (JLT),3 BR,2,1510,24,High-Rise,Semi-Furnished,Park View,Good,1,2070000,1371,146000,31917,2024-06-07,125
648,Dubai Silicon Oasis,5+ BR,4,4314,54,Villa Compound,Unfurnished,Street View,Excellent,0,4234000,981,259000,67785,2025-05-27,149
649,International City,Studio,1,631,60,Mid-Rise,Semi-Furnished,Park View,Average,2,357000,566,23000,9999,2022-09-04,165
650,Al Nahda,5+ BR,5,5319,7,Villa Compound,Unfurnished,Pool View,Excellent,2,4655000,875,348000,70513,2022-07-28,48
651,Damac Hills,2 BR,2,1365,8,Serviced Apartment,Unfurnished,Sea View,Good,0,1873000,1372,118000,27929,2022-10-17,130
652,Deira,5+ BR,6,4270,35,Low-Rise,Furnished,Garden View,New,1,4514000,1057,365000,72376,2023-04-13,162
653,Dubai Hills Estate,1 BR,1,786,22,Low-Rise,Semi-Furnished,Sea View,Good,2,1717000,2184,122000,12318,2023-01-19,84
654,Al Jaddaf,2 BR,2,1119,47,Villa Compound,Furnished,City View,New,1,1665000,1488,125000,23984,2024-07-21,127
655,Bur Dubai,4 BR,4,3242,7,Serviced Apartment,Semi-Furnished,Pool View,Average,2,2198000,678,141000,42092,2025-03-24,60
656,Dubai Hills Estate,Studio,1,624,39,High-Rise,Furnished,Canal View,Good,0,1441000,2309,89000,12615,2024-03-27,132
657,Jumeirah Beach Residence (JBR),2 BR,2,1388,38,Low-Rise,Furnished,Sea View,Average,2,3535000,2547,288000,25219,2022-07-03,71
658,Mirdif,5+ BR,5,3607,55,Villa Compound,Unfurnished,Street View,Excellent,1,3571000,990,229000,68471,2023-03-25,140
659,Dubai Hills Estate,3 BR,2,1537,22,High-Rise,Unfurnished,Street View,Average,0,2433000,1583,171000,31826,2022-07-15,72
660,Jumeirah Beach Residence (JBR),2 BR,2,1118,36,Villa Compound,Unfurnished,Park View,Good,0,2370000,2120,175000,22659,2024-12-05,30
661,Mirdif,3 BR,3,2144,34,Mid-Rise,Unfurnished,Canal View,Excellent,1,2488000,1160,175000,37571,2022-12-30,117
662,Al Quoz,5+ BR,4,5599,8,High-Rise,Unfurnished,Street View,Excellent,0,4376000,782,335000,76768,2022-12-06,166
663,Arjan,4 BR,4,2779,31,Mid-Rise,Furnished,Burj Khalifa View,Excellent,2,4133000,1487,319000,50135,2022-03-16,121
664,Mirdif,3 BR,3,2058,47,Low-Rise,Furnished,Garden View,Excellent,2,2301000,1118,132000,25071,2024-06-05,9
665,DIFC,1 BR,1,741,50,Low-Rise,Furnished,Garden View,New,0,2566000,3463,195000,12025,2025-04-20,130
666,Al Nahda,Studio,1,362,18,Serviced Apartment,Semi-Furnished,Sea View,Average,2,320000,884,23000,6007,2024-01-11,155
667,International City,1 BR,1,771,58,Mid-Rise,Furnished,Sea View,Excellent,1,662000,859,50000,12022,2023-12-30,126
668,Al Quoz,1 BR,1,876,37,High-Rise,Furnished,Park View,New,2,937000,1070,79000,20103,2025-05-02,68
669,Dubai Creek Harbour,5+ BR,4,5442,2,Mid-Rise,Semi-Furnished,Garden View,Average,1,7946000,1460,482000,89078,2024-11-30,68
670,Palm Jumeirah,5+ BR,4,5206,15,High-Rise,Semi-Furnished,City View,Average,1,16398000,3150,913000,96794,2023-08-24,155
671,Remraam,3 BR,2,2080,52,Mid-Rise,Semi-Furnished,City View,New,2,2139000,1028,121000,26328,2022-07-11,104
672,Bur Dubai,3 BR,3,1839,32,Mid-Rise,Furnished,Burj Khalifa View,Average,1,2001000,1088,159000,29753,2022-12-28,175
673,Dubai South,Studio,1,549,38,Low-Rise,Unfurnished,Street View,New,1,512000,933,36000,6888,2023-11-09,161
674,Al Nahda,3 BR,3,2157,52,Low-Rise,Unfurnished,Pool View,New,0,2168000,1005,163000,36926,2023-03-16,10
675,Bur Dubai,4 BR,4,3137,51,Serviced Apartment,Semi-Furnished,Pool View,Average,1,2469000,787,169000,69363,2023-06-05,144
676,International City,1 BR,1,614,9,Serviced Apartment,Unfurnished,Garden View,Average,0,305000,497,26000,10911,2023-02-28,149
677,Deira,4 BR,4,2147,23,Villa Compound,Unfurnished,Park View,Good,1,1588000,740,92000,26234,2022-09-01,164
678,Bur Dubai,3 BR,3,1407,25,Serviced Apartment,Semi-Furnished,Garden View,Average,2,1139000,810,75000,30794,2025-01-30,59
679,Dubailand,4 BR,3,3146,18,Mid-Rise,Unfurnished,Pool View,Excellent,1,2631000,836,192000,58020,2022-03-10,85
680,Al Jaddaf,4 BR,3,2590,23,High-Rise,Furnished,Park View,New,1,3061000,1182,226000,56037,2023-01-22,2
681,Dubai Marina,1 BR,1,872,10,Low-Rise,Semi-Furnished,Street View,Excellent,2,1782000,2044,116000,20040,2022-05-24,137
682,Remraam,1 BR,1,850,42,Low-Rise,Unfurnished,Street View,Average,1,625000,735,44000,20459,2023-06-14,153
683,Dubai Hills Estate,Studio,1,496,20,High-Rise,Furnished,Garden View,Average,1,889000,1792,60000,10424,2024-10-13,168
684,Downtown Dubai,2 BR,2,1440,9,Mid-Rise,Furnished,Garden View,New,1,3790000,2632,294000,26142,2024-04-04,111
685,Dubai Marina,4 BR,4,2455,36,Low-Rise,Semi-Furnished,Garden View,Excellent,1,5662000,2306,391000,31185,2023-08-11,149
686,Palm Jumeirah,Studio,1,452,41,Low-Rise,Furnished,Burj Khalifa View,Excellent,2,1986000,4394,120000,8072,2023-08-17,32
687,Oud Metha,3 BR,2,1889,54,Mid-Rise,Unfurnished,Burj Khalifa View,Average,2,2150000,1138,169000,43449,2025-03-25,21
